validity proof,The proof submitted along with certain types of rollups to prove that the transactions are valid. See also 'rollups'.,,,Blockchain term,UTXO（未花费的交易输出）,UTXO,UTXO,UTXO,UTXO,UTXO,خروجی‌ خرج‌نشده تراکنش,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,UTXO,ناتج المعاملات غير المُنفقة (UTXO),未花費交易輸出,UTXO,UTXO (Αδιάθετη έξοδος συναλλαγής),UTXO,FTK,UTXO,UTXO,UTXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Validium,One of the technologies developed for scaling of the Ethereum network; see more here.,,,Blockchain term,验证器,validateur,Validator,validator,validatore,밸리데이터,اعتبارسنج,validador,валидатор,validador,nagpapatibay,ผู้ยืนยัน,doğrulayıcı,người xác thực,المُدققّ,區塊鏈驗證人,validator,εγκριτής,वैलिडेटर,érvényesítő,バリデーター,Walidator,валідатор,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vault Decryptor,The MetaMask Vault Decryptor is a tool used in recovering the Secret Recovery Phrase. This tool was written by MetaMask co-founder Dan Finlay and can be accessed here: Vault Decryptor ,,,Blockchain term,有效性证明,preuve de validité,Gültigkeitsnachweis,bukti validitas,prova di validazione,유효성 증명,اثبات اعتبار,prova de validação,доказательство действительности,prueba de validez,katibayan ng bisa,หลักฐานยืนยัน,geçerlilik ispatı,bằng chứng hợp lệ,إثبات الصلاحية,有效性證明,bewijs van geldigheid,απόδειξη εγκυρότητας,वैलिडिटी प्रूफ,érvényességi igazolás,有効性証明,Dowód ważności,підтвердження достовірності,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vesting,"In the context of ""vesting period"": The act of restricting the sale of a token for a particular period of time. Vesting period ",,,MetaMask term,Validium 扩容技术,Validium,Validium,Validium,Validium,발리디움,ولیدیوم,Validium,Validium,Validium,Validium,Validium,Validium,Giải pháp Validium,Validium,Validium,Validium,Validium (δεδομένα εκτός αλυσίδας),वैलिडियम,Validium,バリディウム,Validium,Validium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wallet,"In Ethereum-based blockchain technology, a 'wallet' is a something that allows you to manage private keys, your Secret Recovery Phrase, and the accounts generated from it. This could be an internet-connected 'hot wallet', like MetaMask, or an 'airgapped' hardware wallet. In more technical speak, you could say ""the wallet is the client, not the keys."" It is very common for people to use the word 'wallet' to refer to their SRP itself, or the accounts generated from it, or even to one account.",,,Ecosystem term,Vault Decryptor,Décrypteur/Déchiffreur de coffre-fort,Vault Decryptor,Dekriptor Vault,Vault Decryptor,볼트 암호해독기,Vault Decryptor,Vault Decryptor,Vault Decryptor,Vault Decryptor,Vault Decryptor,Vault Decryptor,Vault Şifre Çözücü,Vault Decryptor,Vault Decryptor,私鑰解密器,Vault Decryptor,Κενή μονάδα κρυπτογράφησης,वॉल्ट डिक्रिप्टर,Boltozat dekódoló,Vault Decryptor,Vault Decryptor,Vault Decryptor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WalletConnect,WalletConnect is an open source protocol for connecting decentralised applications to mobile wallets with QR code scanning or deep linking.,,,Blockchain term,等待行权,Acquisition,Vesting,Vesting,Vesting,베스팅,توزیع برنامه‌ریزی شده توکن,Vesting,Вестинг,bloqueo de tokens,Vesting,ทยอยให้ตามเวลา,Vesting,Khoá,استحقاق,逐步解鎖期,vesting/wacht-,Περιορισμός πώλησης,वेस्टिंग,vesting,ベスティング,Vesting,Вестинг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"web3, Web 3.0","Web3, or Web 3.0, are terms used synonymously with “the decentralized web” and are often used to refer, broadly, to the blockchain and decentralized technology ecosystems and communities as a whole.",,,Brand name,钱包,Portefeuille ,Wallet (die),dompet,portafoglio,지갑,کیف پول,carteira,кошелек,monedero,wallet,วอลเล็ต,cüzdan,ví,محفظة,錢包,wallet,πορτοφόλι,वॉलेट,pénztárca,ウォレット,Portfel,гаманець,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WebHID,"WebHID (Human Interface Device)
Enables web applications to interact with human interface devices (HIDs) other than the standard supported devices (mice, keyboards, touchscreens, and gamepads). However, there are many other HID devices that are currently inaccessible to the web",,,Blockchain term,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,월렛커넥트,ولت کانکت,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,بروتوكول WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,WalletConnect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WebSocket,"WebSocket is a computer communications protocol, providing full-duplex communication channels over a single TCP connection. It's often used by dapps to regularly fetch up-to-date information from the blockchain.",,,Software term,Web3，Web 3.0,"web3, Web 3.0","Web3, Web 3.0","web3, Web 3.0","web3, Web 3.0","웹3, 웹 3.0",وب 3، وب 3.0,"web3, Web 3.0","web3, Web 3.0","web3, Web 3.0","web3, Web 3.0","เว็บ 3, เว็บ 3.0","web3, Web 3.0","web3, Web 3.0",ويب 3، ويب 3.0,"web3, Web 3.0","web3, Web 3.0","web3, Web 3.0","web3, Web 3.0","web3, Web 3.0","web3, Web 3.0","web3, Web 3.0","web3, Web 3.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wei,"Wei is the smallest denomination of ether, the currency used to facilitate transactional operations on the Ethereum blockchain network, where 10^18 or 1,000,000,000,000,000,000 wei is equivalent to one ether. ",,,Software term,WebHID,WebHID,WebHID,WebHID,WebHID,WebHID,WebHID,WebHID,WebHID,WebHID,WebHID,WebHID,WebHID,WebHID,WebHID,WEB 型人機介面設備,WebHID,WebHID,WebHID,WebHID,WebHID,WebHID,WebHID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitepaper,Whitepapers explain the purpose and technology behind a project.,,,Blockchain term,WebSocket,WebSocket,WebSocket,WebSocket,WebSocket,웹소켓,وب‌سوکت,WebSocket,WebSocket,WebSocket,WebSocket,WebSocket,WebSocket,WebSocket,بروتوكول WebSocket,網絡傳輸協議,WebSocket,WebSocket,वेबसॉकेट,WebSocket,WebSocket,WebSocket,WebSocket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrapping,"

Wrapping a token is a way of bringing a token from one network to another, like wrapped Bitcoin or MATIC tokens on Ethereum Mainnet. User Guide: Tokens ",,,Software term,Wei,Wei,Wei,Wei,Wei,웨이,وی,Wei,Вей,wei,WebSocket,เวย์,Wei,Wei,وي (Wei),Wei,wei,Wei,Wei,Wei,Wei,Wei,Вей,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyre,"Wyre is a regulated Money Service Business (MSB), which means it is a financial services provider licensed to transmit and convert money. The company is almost a decade old, having been around since 2013.

Wyre provides what the company calls a secure and compliant bridge between fiat and cryptocurrencies.

It serves as an infrastructure provider for blockchain businesses to connect with the fiat economy. In other words, Wyre payments enable blockchain businesses to efficiently integrate highly customizable fiat on-ramps into their onboarding flows.",,,Ecosystem term,白皮书,Livre blanc,Whitepaper,Whitepaper,Whitepaper,백서,گزارش جامع,Whitepaper,Белая книга,libro blanco,Whitepaper,หนังสือชี้ชวน,Teknik doküman,Sách trắng,الورقة التعريفية,白皮書,whitepaper,Λευκή Βίβλος,वाइटपेपर,fehér papír,ホワイトペーパー,Biała księga,Технічний документ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yield farming,"Yield farming is an investment practice that involves locking crypto in a dapp for token rewards. Yield farmers deposit their tokens into DeFi applications for crypto trading, lending, or borrowing.",,,Brand name,包装,Emballage,Wrapping,Wrapping,Wrapping,래핑,انتقال از یک شبکه به شبکه دیگر,Encapsulamento,Обертывание,envolver,Wrapping,การห่อ,Sarma,Bao bọc,تغليف التوكِنّ,包裝,wrappen,Αντιστοίχιση,रैपिंग,becsomagolni,ラッピング,Wrapping,Обгортання,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yield-bearing tokens,Yield tokens. See 'yield farming',,,Blockchain term,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,Wyre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zero address,The Zero Address is an address on the Ethereum network that is the recipient of a special transaction used to register the creation of a new smart contract on the network.,,,Ecosystem term,收益挖矿,yield farming,Yield Farming,yield farming,yield farming,이자농사,کشت سود,yield farming,фарминг доходности,agricultura de rendimiento,paglilinang ng ani,การทำฟาร์ม,yield farming,khai thác lợi nhuận,تحصيل العائد,流動性挖礦,yield farming,εξόρυξη ρευστότητας,यील्ड फार्मिंग,hozamgazdálkodás,イールドファーミング,Yield farming,прибуткове фермерство,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zero-knowledge proof,A zero-knowledge proof is a cryptographic method that allows an individual to prove that a statement is true without conveying any additional information.,,,Blockchain term,收益代币,jetons de yield farming,Ertragsbringende Token,token yield-bearing,token fruttiferi,이자지급토큰,توکن‌های سودده,tokens de rendimento,доходные токены,tokens de rendimiento,mga token na nagbubunga,โทเคนรับผลประโยชน์จากการฟาร์ม,gelir üreten token,token tự sinh lãi,التوكنات حاملة العائد,隨著時間的推移自行產生利息的代幣,yield-bearing tokens,συμβολικά νομίσματα με απόδοση,यील्ड-बियरिंग टोकन्स,hozamot hordozó tokenek,イールドベアリングトークン,Tokeny uzyskane w ramach yield farmingu,прибуткові токени,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zero-knowledge rollup,"A rollup of transactions that use validity proofs to offer increased layer 2 transaction throughput while using the security provided by mainnet (layer 1). Although they can't handle complex transaction types, like Optimistic rollups, they don't have latency issues because transactions are provably valid when submitted.",,,Blockchain term,0地址,adresse zéro,Null-Adresse,alamat nol,indirizzo zero,제로 어드레스,آدرس صفر,endereço zero,нулевой адрес,dirección cero,zero address,ที่อยู่สูญ,zero adres,địa chỉ zero,العنوان صفر,零地址,zero address,Μηδενική διεύθυνση,ज़ीरो एड्रेस,nulla cím,ゼロアドレス,Adres zerowy,нульова адреса,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zk-SNARKs,"Zero-Knowledge Succinct Non-interactive ARguments of Knowledge are an incredible technology, and vital to the scaling of blockchain technology and the decentralized web. They are mathematically complex and can be daunting; this explanation from the Ethereum Foundation is a good primer.",,,Blockchain term,零知识证明,Preuve à divulgation nulle de connaissance (ZKP),Null-Wissen-Beweis,Bukti nol pengetahuan,Dimostrazione a conoscenza zero,영지식 증명,اثبات دانش صفر,Prova de conhecimento zero,Доказательство с нулевым разглашением,prueba de conocimiento cero,Patunay na walang kaalaman,การพิสูจน์โดยไม่ต้องรู้ข้อมูล,Sıfır bilgi ispatı,Bằng chứng không kiến thức,إثبات المعرفة الصفرية,零知識證明,zero-knowledge proof,Απόδειξη μηδενικής γνώσης,ज़ीरो-नॉलेज प्रूफ,zero-knowledge proof (nullaismeretű bizonyítás),ゼロ知識証明,Dowód z wiedzą zerową,Доведення з нульовим розголошенням,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Blockchain term,零知识汇总,Rollup à divulgation nulle de connaissance(rollup ZK),Null-Wissen-Rollup,rollup nol pengetahuan,Rollup a conoscenza zero,영지식 롤업,رول‌آپ‌ بی‌نیاز به دانش,Rollup de conhecimento zero,Роллап с нулевым разглашением,rollup de conocimiento cero,Rollup na walang kaalaman,โรลล์อัปแบบไม่ต้องรู้ข้อมูล,Sıfır bilgi rollup,Tổng hợp không kiến thức,تجميع المعرفة الصفرية,零知識匯總,zero-knowledge rollup,Zero-knowledge rollup (rollup μηδενικής γνώσης),ज़ीरो-नॉलेज रॉलअप,zero-knowledge rollup (nullaismeretű összevont tranzakció),ゼロ知識ロールアップ,Rollup z wiedzą zerową,Роллап з нульовим розголошенням,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,零知识简洁非交互知识论证（zk-SNARK）,zk-SNARKs,zk-SNARKs,zk-ZSNAKRs,Argomento di conoscenza succinto non interattivo a conoscenza zero (zk-SNARKs),영지식 스나크,گواه‌های اثبات دانش صفر غیرتعاملی,zk-SNARKs,Протоколы zk-SNARK,zk-SNARKs,zk-SNARKs,zk-SNARKs,zk-SNARK'lar,zk-SNARK,zk-SNARKs,zk-SNARKs,zk-SNARK's,zk-SNARKs (μη διαδραστικές αποδείξεις μηδενικής γνώσης),zk-SNARKs,zk-SNARKs,zk-SNARKs,zk-SNARKs,zk-SNARKs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
